min;max;range;average;energy;rms;std;volume;surfacde;surfaceovervolume;sphercal disporportion;compactness;label
-1024;615;1639;-49.12425322;7183072911;239.5223453;234.4307182;358532.5467;35689.20721;0.099542447;1.462290703;0.030001868;0
-961;230;1191;-100.5814549;868119204;267.7316285;248.1201238;34680.90216;9287.689178;0.26780414;1.805912168;0.02186019;0
-994;607;1601;-47.55903238;863753559;171.3080059;164.5739084;84208.48846;19128.12636;0.227151998;2.058816909;0.017958592;0
-1024;2621;3645;2.184742963;1016158941;186.9898668;186.9771033;83221.56539;19715.454;0.236903186;2.138776503;0.016960973;0
-966;488;1454;-66.04516311;829535347;241.7577175;232.5614551;40642.89029;8104.716252;0.199412891;1.41774231;0.031427;0
-1024;250;1274;-0.368994869;977138398;168.7740445;168.7736412;98232.48845;22623.86765;0.230309422;2.197417758;0.016286581;0
-1022;278;1300;-202.6412906;3124963798;335.4612609;267.340167;79518.9474;15885.80682;0.199773857;1.77641625;0.0224069;0
-1024;348;1372;-196.001238;4705189658;391.5270954;338.9350692;87894.93938;14212.06333;0.161693761;1.486610157;0.029268687;0
-999;1062;2061;-54.50668536;7088061300;306.1720188;301.2811417;216524.4038;26208.43213;0.12104147;1.502977049;0.028791902;0
-1024;601;1625;-184.8271454;5508300763;378.7023292;330.536504;109984.6495;17154.50613;0.155971822;1.545275948;0.027617846;0
-1022;1014;2036;22.80391851;3960789573;131.0723685;129.0734174;660191.3921;48347.31949;0.073232278;1.318585729;0.035037759;0
-869;261;1130;-102.6343698;581820887;273.9780596;254.027879;22195.66284;5116.629486;0.230523843;1.339638948;0.034215054;1
-1010;1118;2128;-28.22909795;3237552106;297.0817411;295.7375169;105044.9619;18969.00772;0.18057989;1.761882749;0.022684717;1
-880;1302;2182;-17.57356741;2622647410;182.2633665;181.4141794;226074.4665;33319.08704;0.147381027;1.856555595;0.020971859;0
-719;625;1344;1.371912491;88216518;111.5847972;111.5763632;20288.5139;7741.790612;0.381584903;2.152073693;0.016804019;1
-1000;674;1674;-25.6681578;1638630767;194.8858685;193.1881141;123546.5975;19433.0506;0.157293288;1.619955174;0.025730272;0
-967;221;1188;-122.9313945;1215902059;264.0968565;233.7413567;49920.91217;13369.8529;0.267820685;2.039173427;0.01821871;1
-982;1095;2077;39.25052227;1154882274;255.3567347;252.3221323;50671.57745;12640.28641;0.249455159;1.908812075;0.020116579;1
-986;94;1080;-203.1634199;88248871;309.042774;232.8777812;2645.954388;1315.510343;0.497178012;1.421963909;0.031287151;1
-1009;263;1272;-37.38812335;1044936107;182.3564149;178.4824649;89901.92413;12968.88637;0.144255938;1.336305951;0.034343142;0
-1018;344;1362;-109.9112977;2254647798;232.5537823;204.9408897;119382.942;18969.47694;0.158896042;1.617867857;0.025780083;0
-684;1566;2250;16.95986634;664401532;153.6819022;152.7432158;80555.5659;13887.14201;0.172392086;1.539566256;0.027771626;0
-984;140;1124;-106.2475289;1517250291;267.2329625;245.2038312;60839.7694;15886.44609;0.261119433;2.123656425;0.017142434;1
-827;974;1801;15.17944814;309830936;140.1894726;139.3652489;45144.44906;8423.499549;0.186589929;1.373848554;0.032945081;0
-949;420;1369;-0.526917339;406529471;94.4364823;94.43501229;130416.8701;24541.55902;0.188177795;1.97331087;0.019138399;1
-804;211;1015;-22.46197195;349504547;122.6174552;120.5425241;66566.9434;11766.08602;0.17675569;1.481297026;0.029426299;0
-986;186;1172;-20.5664183;1230036136;133.791955;132.2017763;196774.2443;31327.0309;0.159202903;1.914797898;0.020022323;0
-886;206;1092;-246.8039303;279598078;353.3784358;252.9113261;6411.571293;2737.688885;0.426991881;1.640301383;0.025253025;1
-604;233;837;21;15039407;112.0903644;110.1056302;3427.713639;1513.652466;0.441592451;1.376804764;0.032839031;0
-958;132;1090;1.467826087;60234394;122.3317899;122.3229836;11525.93768;3815.258179;0.331014993;1.546164258;0.027594049;1
-894;195;1089;-29.61346863;187473058;169.7771213;167.1744998;18624.76985;4751.332375;0.255108246;1.398311763;0.032084322;0
-979;563;1542;57.55540818;502288342;73.89711538;46.34823245;263159.7519;39864.45013;0.151483841;2.007344942;0.018653738;0
-779;697;1476;-70.54840169;330898315;223.3700899;211.9365945;18991.30898;4866.128153;0.256229213;1.413609596;0.031564917;0
-991;3071;4062;74.05501837;2106546262;139.6133336;118.3542866;309476.4379;41004.91144;0.132497685;1.853247235;0.021028042;0
-909;130;1039;-75.12829525;359407350;212.4092014;198.6791587;22811.33404;6394.669934;0.280328626;1.643993965;0.025167991;0
-990;302;1292;-36.51269855;372183824;177.8013994;174.011955;33682.82318;8149.232748;0.241940312;1.615698321;0.025832026;1
-1012;1012;2024;6.28931929;750649870;162.8814145;162.7599449;80949.78333;26401.8576;0.32615106;2.917471123;0.010646063;0
-837;325;1162;-6.787149368;816567418;161.8867249;161.7443857;89143.75305;15928.04717;0.178678221;1.650508628;0.025019129;0
-935;453;1388;47.65390709;233143649;91.62708175;78.25999776;79450.6073;24004.31185;0.30212874;2.68579991;0.012052812;0
-1001;196;1197;-248.0822193;234811551;396.1812627;308.8928704;4283.926152;2753.55832;0.642765123;2.158649695;0.016727291;1
-875;464;1339;-47.8576323;764866285;200.787282;195.0004607;54279.32739;13124.88927;0.241802725;1.893165371;0.020366483;0
-958;135;1093;-223.9817851;425946202;332.9217607;246.3108985;11004.76484;3088.865143;0.280684339;1.291004172;0.036166577;1
